chromo,strand,start,end,count,alt3,alt5,alt3+5,skip,constitLevel,inclLevel,3usageLevel,5usageLevel,OnlyESTexonCount,genename
chr1,-,1373999,1374445,64,3,0,0,0,0.955,1.000,0.955,1.000,21,AURKAIP1
chr1,-,1390765,1391553,1,1,0,0,0,0.500,1.000,0.500,1.000,2,CCNL2
chr1,-,1395393,1395514,111,2,0,0,0,0.982,1.000,0.982,1.000,3,CCNL2
chr1,-,1398232,1398342,179,1,0,0,0,0.994,1.000,0.994,1.000,3,CCNL2
chr1,-,1399018,1399048,1,1,0,0,0,0.500,1.000,0.500,1.000,0,onlyEST
chr1,+,1400157,1400303,94,1,0,0,0,0.989,1.000,0.989,1.000,3,RP4-758J18.2
chr1,+,1477273,1477350,44,1,0,0,0,0.978,1.000,0.978,1.000,0,ATAD3B
chr1,+,1632782,1632913,12,1,0,0,0,0.923,1.000,0.923,1.000,0,MMP23B
chr1,-,1636332,1636481,43,1,0,0,0,0.977,1.000,0.977,1.000,0,CDK11B
chr1,-,1641047,1641113,53,1,0,0,0,0.981,1.000,0.981,1.000,1,CDK11B
chr1,-,1641661,1641820,31,1,0,0,0,0.969,1.000,0.969,1.000,1,CDK11B
chr1,-,1756502,1756608,58,1,0,0,0,0.983,1.000,0.983,1.000,1,NADK
chr1,-,1779904,1780029,2,1,0,0,0,0.667,1.000,0.667,1.000,0,NADK
chr1,-,1890819,1890888,4,3,0,0,0,0.571,1.000,0.571,1.000,22,onlyEST
chr1,+,2144209,2144341,583,2,0,0,0,0.997,1.000,0.997,1.000,3,PRKCZ
chr1,+,2150789,2150978,84,1,0,0,0,0.988,1.000,0.988,1.000,2,PRKCZ
chr1,+,2169517,2169604,54,2,0,0,0,0.964,1.000,0.964,1.000,2,PRKCZ
chr1,-,2384977,2385065,17,1,0,0,0,0.944,1.000,0.944,1.000,0,MORN1
chr1,+,2397115,2397220,334,1,0,0,0,0.997,1.000,0.997,1.000,5,RER1
chr1,+,2402206,2402342,99,3,0,0,0,0.971,1.000,0.971,1.000,1,RER1
chr1,-,2406719,2406895,36,3,0,0,0,0.923,1.000,0.923,1.000,6,PEX10
chr1,-,2510677,2510782,15,1,0,0,0,0.938,1.000,0.938,1.000,2,PANK4
chr1,-,2519142,2519324,12,1,0,0,0,0.923,1.000,0.923,1.000,1,PANK4
chr1,+,2559822,2559978,71,1,0,0,0,0.986,1.000,0.986,1.000,3,TNFRSF14
chr1,+,2588921,2589040,29,31,0,0,0,0.483,1.000,0.483,1.000,3,FAM213B
chr1,-,2593813,2593933,6,1,0,0,0,0.857,1.000,0.857,1.000,1,MMEL1
chr1,-,2595275,2595359,8,1,0,0,0,0.889,1.000,0.889,1.000,0,MMEL1
chr1,+,3385151,3385286,8,1,0,0,0,0.889,1.000,0.889,1.000,1,PRDM16
chr1,+,3414559,3414647,6,3,0,0,0,0.667,1.000,0.667,1.000,0,PRDM16
chr1,-,3632212,3632338,24,1,0,0,0,0.960,1.000,0.960,1.000,0,WRAP73
chr1,-,3742803,3742911,7,1,0,0,0,0.875,1.000,0.875,1.000,0,TP73-AS1
chr1,-,3837291,3837519,6,1,0,0,0,0.857,1.000,0.857,1.000,1,CEP104
chr1,-,5864337,5864517,7,1,0,0,0,0.875,1.000,0.875,1.000,0,NPHP4
chr1,-,5905631,5905780,7,4,0,0,0,0.636,1.000,0.636,1.000,1,NPHP4
chr1,+,6212230,6212416,7,1,0,0,0,0.875,1.000,0.875,1.000,0,RNF207
chr1,-,6234885,6234974,38,1,0,0,0,0.974,1.000,0.974,1.000,2,ICMT
chr1,-,6318491,6318578,106,1,0,0,0,0.991,1.000,0.991,1.000,8,ACOT7
chr1,+,6440625,6440808,3,1,0,0,0,0.750,1.000,0.750,1.000,0,ESPN
chr1,-,6467824,6467893,2,1,0,0,0,0.667,1.000,0.667,1.000,0,PLEKHG5
chr1,-,6526695,6526829,19,1,0,0,0,0.950,1.000,0.950,1.000,0,NOL9
chr1,+,6570908,6571215,6,1,0,0,0,0.857,1.000,0.857,1.000,0,TAS1R1
chr1,+,6586694,6586787,11,1,0,0,0,0.917,1.000,0.917,1.000,0,ZBTB48
chr1,+,6587477,6587632,18,1,0,0,0,0.947,1.000,0.947,1.000,0,ZBTB48
chr1,+,6625149,6625292,5,3,0,0,0,0.625,1.000,0.625,1.000,1,THAP3
chr1,+,6630287,6630353,41,6,0,0,0,0.872,1.000,0.872,1.000,2,THAP3
chr1,+,6632390,6632495,42,3,0,0,0,0.933,1.000,0.933,1.000,1,THAP3
chr1,+,7737958,7738482,6,1,0,0,0,0.857,1.000,0.857,1.000,0,CAMTA1
chr1,+,7745844,7746091,12,1,0,0,0,0.923,1.000,0.923,1.000,0,CAMTA1
chr1,+,7793959,7794008,7,5,0,0,0,0.583,1.000,0.583,1.000,0,PER3
chr1,+,7798524,7798673,11,1,0,0,0,0.917,1.000,0.917,1.000,0,PER3
chr1,-,7811488,7811604,3,1,0,0,0,0.750,1.000,0.750,1.000,0,RP3-467L1.4
chr1,-,9040063,9040189,28,1,0,0,0,0.966,1.000,0.966,1.000,1,SLC2A5
chr1,-,9733971,9734142,99,1,0,0,0,0.990,1.000,0.990,1.000,2,CLSTN1
chr1,-,9735466,9735615,82,1,0,0,0,0.988,1.000,0.988,1.000,6,CLSTN1
chr1,-,9751472,9751681,46,14,0,0,0,0.767,1.000,0.767,1.000,0,CLSTN1
chr1,+,10171137,10171329,42,1,0,0,0,0.977,1.000,0.977,1.000,0,UBE4B
chr1,+,10282399,10282533,11,6,0,0,0,0.647,1.000,0.647,1.000,0,KIF1B
chr1,+,10411417,10411552,192,1,0,0,0,0.995,1.000,0.995,1.000,13,PGD
chr1,+,10413061,10413251,145,1,0,0,0,0.993,1.000,0.993,1.000,6,PGD
chr1,+,11013715,11013965,767,6,0,0,0,0.992,1.000,0.992,1.000,9,"RP4-635E18.9,TARDBP"
chr1,-,11054961,11055084,186,1,0,0,0,0.995,1.000,0.995,1.000,25,SRM
chr1,-,11059224,11059345,165,1,0,0,0,0.994,1.000,0.994,1.000,3,SRM
chr1,-,11080498,11080549,45,2,0,0,0,0.957,1.000,0.957,1.000,0,EXOSC10
chr1,-,11087799,11087910,68,1,0,0,0,0.986,1.000,0.986,1.000,1,EXOSC10
chr1,+,11194460,11194659,16,1,0,0,0,0.941,1.000,0.941,1.000,0,ANGPTL7
chr1,+,11520686,11520848,6,1,0,0,0,0.857,1.000,0.857,1.000,0,PTCHD2
chr1,-,11649778,11649874,38,1,0,0,0,0.974,1.000,0.974,1.000,0,FBXO2
chr1,+,11655805,11656100,136,5,0,0,0,0.965,1.000,0.965,1.000,1,FBXO44
chr1,+,11662815,11662928,1,1,0,0,0,0.500,1.000,0.500,1.000,0,FBXO44
chr1,+,11782188,11782333,2,2,0,0,0,0.500,1.000,0.500,1.000,0,C1orf167
chr1,+,11788242,11788378,4,2,0,0,0,0.667,1.000,0.667,1.000,0,C1orf167
chr1,-,11794357,11794538,6,2,0,0,0,0.750,1.000,0.750,1.000,0,MTHFR
chr1,-,11802880,11803129,26,3,0,0,0,0.897,1.000,0.897,1.000,0,MTHFR
chr1,+,11816614,11816680,53,2,0,0,0,0.964,1.000,0.964,1.000,0,CLCN6
chr1,+,11827088,11827221,13,2,0,0,0,0.867,1.000,0.867,1.000,0,CLCN6
chr1,+,11833514,11833638,24,1,0,0,0,0.960,1.000,0.960,1.000,0,CLCN6
chr1,+,11837342,11837499,17,2,0,0,0,0.895,1.000,0.895,1.000,1,CLCN6
chr1,+,11841054,11841207,6,1,0,0,0,0.857,1.000,0.857,1.000,0,onlyEST
chr1,+,11845546,11845766,9,3,0,0,0,0.750,1.000,0.750,1.000,0,NPPA-AS1
chr1,+,12009591,12009726,64,1,0,0,0,0.985,1.000,0.985,1.000,4,MFN2
chr1,+,12022094,12022442,111,1,0,0,0,0.991,1.000,0.991,1.000,5,MIIP
chr1,+,12341779,12341885,6,1,0,0,0,0.857,1.000,0.857,1.000,0,VPS13D
chr1,+,12460200,12460396,16,1,0,0,0,0.941,1.000,0.941,1.000,0,VPS13D
chr1,+,15374501,15374631,5,1,0,0,0,0.833,1.000,0.833,1.000,0,FHAD1
chr1,+,15397296,15397449,1,1,0,0,0,0.500,1.000,0.500,1.000,0,FHAD1
chr1,+,15461560,15461658,59,1,0,0,0,0.983,1.000,0.983,1.000,1,CELA2A
chr1,-,15942330,15942420,20,2,0,0,0,0.909,1.000,0.909,1.000,0,ZBTB17
chr1,-,15943398,15943519,38,1,0,0,0,0.974,1.000,0.974,1.000,2,ZBTB17
chr1,-,15946153,15946294,50,6,0,0,0,0.893,1.000,0.893,1.000,6,ZBTB17
chr1,+,16028760,16028845,8,1,0,0,0,0.889,1.000,0.889,1.000,1,CLCNKA
chr1,+,16032442,16032526,5,2,0,0,0,0.714,1.000,0.714,1.000,0,CLCNKA
chr1,+,16055674,16055758,5,1,0,0,0,0.833,1.000,0.833,1.000,0,CLCNKB
chr1,-,16137852,16138185,10,1,0,0,0,0.909,1.000,0.909,1.000,0,EPHA2
chr1,-,16202415,16202574,19,1,0,0,0,0.950,1.000,0.950,1.000,0,ARHGEF19
chr1,-,16205930,16206083,32,1,0,0,0,0.970,1.000,0.970,1.000,0,ARHGEF19
chr1,-,16253095,16253152,23,1,0,0,0,0.958,1.000,0.958,1.000,1,FBXO42
chr1,-,16594930,16595013,11,2,0,0,0,0.846,1.000,0.846,1.000,1,NBPF1
chr1,-,16619844,16620024,3,3,0,0,0,0.500,1.000,0.500,1.000,1,onlyEST
chr1,+,16646368,16646515,17,1,0,0,0,0.944,1.000,0.944,1.000,1,onlyEST
chr1,+,16647783,16648664,2,1,0,0,0,0.667,1.000,0.667,1.000,0,onlyEST
chr1,-,16992242,16992402,33,2,0,0,0,0.943,1.000,0.943,1.000,2,ATP13A2
chr1,+,17602126,17602218,25,1,0,0,0,0.962,1.000,0.962,1.000,0,ARHGEF10L
chr1,+,18636242,18636371,4,3,0,0,0,0.571,1.000,0.571,1.000,0,PAX7
chr1,-,19076739,19076902,68,1,0,0,0,0.986,1.000,0.986,1.000,0,UBR4
chr1,-,19100375,19100573,40,1,0,0,0,0.976,1.000,0.976,1.000,0,UBR4
chr1,-,19101519,19101641,53,3,0,0,0,0.946,1.000,0.946,1.000,1,UBR4
chr1,-,19139082,19139220,9,1,0,0,0,0.900,1.000,0.900,1.000,0,UBR4
chr1,-,19145792,19145933,7,1,0,0,0,0.875,1.000,0.875,1.000,0,UBR4
chr1,-,19154917,19155075,11,1,0,0,0,0.917,1.000,0.917,1.000,0,UBR4
chr1,-,19219568,19219698,26,3,0,0,0,0.897,1.000,0.897,1.000,1,EMC1
chr1,-,19220763,19220848,29,2,0,0,0,0.935,1.000,0.935,1.000,0,EMC1
chr1,-,19235129,19235252,24,2,0,0,0,0.923,1.000,0.923,1.000,1,EMC1
chr1,-,19238794,19238857,20,5,0,0,0,0.800,1.000,0.800,1.000,1,EMC1
chr1,-,19239230,19239302,20,1,0,0,0,0.952,1.000,0.952,1.000,1,EMC1
chr1,-,19308454,19308642,117,1,0,0,0,0.992,1.000,0.992,1.000,10,AKR7A2
chr1,+,19325494,19325582,24,10,0,0,0,0.706,1.000,0.706,1.000,0,PQLC2
chr1,-,19356634,19356751,277,1,0,0,0,0.996,1.000,0.996,1.000,4,CAPZB
chr1,+,19655323,19655435,121,1,0,0,0,0.992,1.000,0.992,1.000,1,"MINOS1-NBL1,NBL1"
chr1,-,19978379,19978524,110,4,0,0,0,0.965,1.000,0.965,1.000,1,PLA2G2A
chr1,-,19978733,19978879,30,1,0,0,0,0.968,1.000,0.968,1.000,0,PLA2G2A
chr1,+,20314321,20314592,1,1,0,0,0,0.500,1.000,0.500,1.000,0,VWA5B1
chr1,+,20318423,20318721,1,1,0,0,0,0.500,1.000,0.500,1.000,0,VWA5B1
chr1,-,20670420,20670491,8,3,0,0,0,0.727,1.000,0.727,1.000,0,KIF17
chr1,-,20765376,20765531,61,1,0,0,0,0.984,1.000,0.984,1.000,1,HP1BP3
chr1,-,20776596,20776750,130,1,0,0,0,0.992,1.000,0.992,1.000,4,HP1BP3
chr1,-,20779811,20779911,141,6,0,0,0,0.959,1.000,0.959,1.000,2,HP1BP3
chr1,-,21002712,21002808,43,2,0,0,0,0.956,1.000,0.956,1.000,0,EIF4G3
chr1,-,21247220,21247363,53,1,0,0,0,0.981,1.000,0.981,1.000,0,ECE1
chr1,-,21597960,21598064,18,4,0,0,0,0.818,1.000,0.818,1.000,1,RAP1GAP
chr1,-,21598399,21598502,27,1,0,0,0,0.964,1.000,0.964,1.000,2,RAP1GAP
chr1,-,21611715,21611816,26,1,0,0,0,0.963,1.000,0.963,1.000,0,RAP1GAP
chr1,-,21706743,21706868,17,1,0,0,0,0.944,1.000,0.944,1.000,0,USP48
chr1,-,21721035,21721166,19,2,0,0,0,0.905,1.000,0.905,1.000,1,USP48
chr1,-,21833267,21833384,33,1,0,0,0,0.971,1.000,0.971,1.000,2,HSPG2
chr1,-,21884527,21884674,2,1,0,0,0,0.667,1.000,0.667,1.000,0,HSPG2
chr1,+,22007372,22007515,34,1,0,0,0,0.971,1.000,0.971,1.000,2,CELA3A
chr1,+,22489879,22490645,4,1,0,0,0,0.800,1.000,0.800,1.000,2,ZBTB40
chr1,+,22892883,22893046,17,1,0,0,0,0.944,1.000,0.944,1.000,1,EPHB2
chr1,+,23069060,23069151,58,1,0,0,0,0.983,1.000,0.983,1.000,1,KDM1A
chr1,+,23073291,23073403,58,1,0,0,0,0.983,1.000,0.983,1.000,0,KDM1A
chr1,-,23318482,23318688,54,11,0,0,0,0.831,1.000,0.831,1.000,2,HNRNPR
chr1,-,23393878,23394033,18,1,0,0,0,0.947,1.000,0.947,1.000,0,TCEA3
chr1,-,23431695,23431918,19,1,0,0,0,0.950,1.000,0.950,1.000,1,ASAP3
chr1,-,23441654,23441730,17,1,0,0,0,0.944,1.000,0.944,1.000,0,ASAP3
chr1,-,23452696,23452771,58,1,0,0,0,0.983,1.000,0.983,1.000,0,ASAP3
chr1,+,23692608,23692759,13,5,0,0,0,0.722,1.000,0.722,1.000,3,RPL11
chr1,+,23693806,23693913,1589,3,0,0,0,0.998,1.000,0.998,1.000,25,RPL11
chr1,-,23772110,23772166,14,1,0,0,0,0.933,1.000,0.933,1.000,0,TCEB3-AS1
chr1,+,23792656,23792760,178,3,0,0,0,0.983,1.000,0.983,1.000,2,LYPLA2
chr1,-,23797033,23797147,81,1,0,0,0,0.988,1.000,0.988,1.000,4,GALE
chr1,-,23798116,23798230,138,6,0,0,0,0.958,1.000,0.958,1.000,3,GALE
chr1,+,23960928,23961134,747,31,0,0,0,0.960,1.000,0.960,1.000,16,PNRC2
chr1,-,24123301,24123423,12,1,0,0,0,0.923,1.000,0.923,1.000,0,IL22RA1
chr1,-,24360850,24361041,9,1,0,0,0,0.900,1.000,0.900,1.000,3,STPG1
chr1,+,24440171,24440240,222,1,0,0,0,0.996,1.000,0.996,1.000,1,NIPAL3
chr1,+,24651408,24651612,59,7,0,0,0,0.894,1.000,0.894,1.000,2,SRRM1
chr1,+,24652912,24653032,41,2,0,0,0,0.953,1.000,0.953,1.000,1,SRRM1
chr1,+,24661309,24661396,29,6,0,0,0,0.829,1.000,0.829,1.000,3,SRRM1
chr1,-,24929586,24929852,5,1,0,0,0,0.833,1.000,0.833,1.000,2,RUNX3
chr1,-,24964513,24964668,2,1,0,0,0,0.667,1.000,0.667,1.000,1,RUNX3
chr1,-,25243549,25243633,8,2,0,0,0,0.800,1.000,0.800,1.000,2,RSRP1
chr1,+,25300945,25301093,66,1,0,0,0,0.985,1.000,0.985,1.000,0,RHD
chr1,+,25491409,25491584,12,1,0,0,0,0.923,1.000,0.923,1.000,0,TMEM57
chr1,+,25809025,25809150,15,1,0,0,0,0.938,1.000,0.938,1.000,0,SEPN1
chr1,+,25811690,25811879,25,1,0,0,0,0.962,1.000,0.962,1.000,1,"SEPN1,RP1-317E23.6"
chr1,+,25823643,25823748,316,7,0,0,0,0.978,1.000,0.978,1.000,1,MTFR1L
chr1,+,25829508,25829830,25,8,0,0,0,0.758,1.000,0.758,1.000,1,MTFR1L
chr1,-,25982363,25982477,39,1,0,0,0,0.975,1.000,0.975,1.000,3,PAFAH2
chr1,+,26182360,26182402,47,1,0,0,0,0.979,1.000,0.979,1.000,0,CNKSR1
chr1,+,26182479,26182584,26,2,0,0,0,0.929,1.000,0.929,1.000,1,CNKSR1
chr1,+,26183196,26183256,25,1,0,0,0,0.962,1.000,0.962,1.000,1,CNKSR1
chr1,+,26184213,26184287,18,2,0,0,0,0.900,1.000,0.900,1.000,1,CNKSR1
chr1,+,26187410,26187482,22,1,0,0,0,0.957,1.000,0.957,1.000,0,CNKSR1
chr1,+,26198285,26198419,3,2,0,0,0,0.600,1.000,0.600,1.000,0,CATSPER4
chr1,-,26284141,26284245,34,2,0,0,0,0.944,1.000,0.944,1.000,0,UBXN11
chr1,-,26368457,26368582,21,18,0,0,0,0.538,1.000,0.538,1.000,0,ZNF683
chr1,+,26442730,26442873,106,5,0,0,0,0.955,1.000,0.955,1.000,2,DHDDS
chr1,+,26472511,26472627,2,3,0,0,0,0.400,1.000,0.400,1.000,5,HMGN2
chr1,+,26474084,26474135,1994,1,0,0,0,0.999,1.000,0.999,1.000,32,HMGN2
chr1,+,26554213,26554251,45,1,0,0,0,0.978,1.000,0.978,1.000,1,RPS6KA1
chr1,+,26555536,26555625,41,1,0,0,0,0.976,1.000,0.976,1.000,0,RPS6KA1
chr1,+,26772811,26772987,19,13,0,0,0,0.594,1.000,0.594,1.000,0,ARID1A
chr1,+,26856184,26856262,3,1,0,0,0,0.750,1.000,0.750,1.000,0,ZDHHC18
chr1,-,26884159,26884290,28,1,0,0,0,0.966,1.000,0.966,1.000,0,GPN2
chr1,+,26941752,26941818,347,2,0,0,0,0.994,1.000,0.994,1.000,35,NUDC
chr1,+,26942659,26942776,280,7,0,0,0,0.976,1.000,0.976,1.000,48,NUDC
chr1,+,27297047,27297156,20,4,0,0,0,0.833,1.000,0.833,1.000,6,WDTC1
chr1,+,27305000,27305193,20,2,0,0,0,0.909,1.000,0.909,1.000,1,WDTC1
chr1,+,27347807,27347880,164,1,0,0,0,0.994,1.000,0.994,1.000,0,SYTL1
chr1,+,27349079,27349152,55,6,0,0,0,0.902,1.000,0.902,1.000,0,SYTL1
chr1,+,27349397,27349498,37,1,0,0,0,0.974,1.000,0.974,1.000,5,SYTL1
chr1,-,27553073,27553185,4,1,0,0,0,0.800,1.000,0.800,1.000,0,AHDC1
chr1,-,27613218,27613350,18,1,0,0,0,0.947,1.000,0.947,1.000,0,FGR
chr1,+,27832755,27832816,238,1,0,0,0,0.996,1.000,0.996,1.000,1,PPP1R8
chr1,+,27838698,27838852,234,1,0,0,0,0.996,1.000,0.996,1.000,2,PPP1R8
chr1,+,27843185,27843330,63,1,0,0,0,0.984,1.000,0.984,1.000,6,PPP1R8
chr1,-,27897004,27897121,92,1,0,0,0,0.989,1.000,0.989,1.000,8,RPA2
chr1,+,27949064,27949162,51,1,0,0,0,0.981,1.000,0.981,1.000,1,SMPDL3B
chr1,-,28203746,28203822,181,1,0,0,0,0.995,1.000,0.995,1.000,11,DNAJC8
chr1,+,28236360,28236452,206,1,0,0,0,0.995,1.000,0.995,1.000,3,ATPIF1
chr1,+,28476106,28476291,22,1,0,0,0,0.957,1.000,0.957,1.000,0,PHACTR4
chr1,+,28987447,28987905,8,6,0,0,0,0.571,1.000,0.571,1.000,0,EPB41
chr1,+,29053103,29053312,17,2,0,0,0,0.895,1.000,0.895,1.000,0,EPB41
chr1,-,29216587,29216685,127,26,0,0,0,0.830,1.000,0.830,1.000,0,MECR
chr1,+,29260609,29260903,9,1,0,0,0,0.900,1.000,0.900,1.000,0,PTPRU
chr1,+,29323630,29323788,22,1,0,0,0,0.957,1.000,0.957,1.000,1,PTPRU
chr1,-,30738939,30739062,68,1,0,0,0,0.986,1.000,0.986,1.000,2,LAPTM5
chr1,-,30739808,30739937,80,2,0,0,0,0.976,1.000,0.976,1.000,3,LAPTM5
chr1,-,30953713,30953981,32,2,0,0,0,0.941,1.000,0.941,1.000,0,PUM1
chr1,+,31428977,31429068,71,1,0,0,0,0.986,1.000,0.986,1.000,3,SERINC2
chr1,+,31585439,31585485,61,1,0,0,0,0.984,1.000,0.984,1.000,4,TINAGL1
chr1,-,31655313,31655502,12,1,0,0,0,0.923,1.000,0.923,1.000,1,COL16A1
chr1,-,31672723,31672840,8,1,0,0,0,0.889,1.000,0.889,1.000,0,COL16A1
chr1,-,31728181,31728280,15,4,0,0,0,0.789,1.000,0.789,1.000,0,ADGRB2
chr1,-,31738831,31738937,25,1,0,0,0,0.962,1.000,0.962,1.000,0,ADGRB2
chr1,-,31801663,31801705,10,1,0,0,0,0.909,1.000,0.909,1.000,0,SPOCD1
chr1,+,32074950,32075077,126,3,0,0,0,0.977,1.000,0.977,1.000,2,TMEM39B
chr1,+,32075602,32075822,96,6,0,0,0,0.941,1.000,0.941,1.000,6,TMEM39B
chr1,+,32091674,32092011,18,1,0,0,0,0.947,1.000,0.947,1.000,2,TMEM39B
chr1,+,32154587,32154721,176,7,0,0,0,0.962,1.000,0.962,1.000,3,KPNA6
chr1,+,32160614,32160703,33,1,0,0,0,0.971,1.000,0.971,1.000,2,KPNA6
chr1,+,32162360,32162524,24,1,0,0,0,0.960,1.000,0.960,1.000,0,KPNA6
chr1,+,32192656,32192731,15,1,0,0,0,0.938,1.000,0.938,1.000,0,TXLNA
chr1,-,32215135,32215216,2,1,0,0,0,0.667,1.000,0.667,1.000,0,TMEM234
chr1,-,32216888,32216947,27,1,0,0,0,0.964,1.000,0.964,1.000,1,TMEM234
chr1,-,32234402,32234586,1,1,0,0,0,0.500,1.000,0.500,1.000,0,onlyEST
chr1,-,32234703,32234814,6,1,0,0,0,0.857,1.000,0.857,1.000,2,onlyEST
chr1,-,32234951,32235113,11,2,0,0,0,0.846,1.000,0.846,1.000,0,onlyEST
chr1,+,32274324,32274434,317,7,0,0,0,0.978,1.000,0.978,1.000,6,LCK
chr1,+,32326938,32327077,234,1,0,0,0,0.996,1.000,0.996,1.000,8,HDAC1
chr1,+,32330767,32330908,83,1,0,0,0,0.988,1.000,0.988,1.000,1,HDAC1
chr1,+,32331473,32331582,87,1,0,0,0,0.989,1.000,0.989,1.000,2,HDAC1
chr1,+,32331675,32331806,81,1,0,0,0,0.988,1.000,0.988,1.000,3,HDAC1
chr1,+,32668971,32669132,126,1,0,0,0,0.992,1.000,0.992,1.000,9,RBBP4
chr1,+,32669230,32669357,97,1,0,0,0,0.990,1.000,0.990,1.000,6,RBBP4
chr1,+,32827992,32828081,23,4,0,0,0,0.852,1.000,0.852,1.000,0,S100PBP
chr1,-,32868881,32868997,23,3,0,0,0,0.885,1.000,0.885,1.000,0,FNDC5
chr1,-,32895554,32895743,47,6,0,0,0,0.887,1.000,0.887,1.000,3,TMEM54
chr1,-,32948221,32948366,8,7,0,0,0,0.533,1.000,0.533,1.000,0,RNF19B
chr1,+,33098066,33098179,18,1,0,0,0,0.947,1.000,0.947,1.000,0,AZIN2
chr1,-,33331347,33331462,142,1,0,0,0,0.993,1.000,0.993,1.000,1,PHC2
chr1,+,33493186,33493615,2,1,0,0,0,0.667,1.000,0.667,1.000,0,ZSCAN20
chr1,-,33567592,33567766,2,1,0,0,0,0.667,1.000,0.667,1.000,0,CSMD2
chr1,+,33878169,33878350,3,1,0,0,0,0.750,1.000,0.750,1.000,0,CSMD2-AS1
chr1,-,34868604,34869089,2,1,0,0,0,0.667,1.000,0.667,1.000,0,DLGAP3
chr1,+,35111771,35111912,5,2,0,0,0,0.714,1.000,0.714,1.000,0,ZMYM1
chr1,+,35396551,35396670,30,1,0,0,0,0.968,1.000,0.968,1.000,0,ZMYM4
chr1,-,35451627,35451776,38,2,0,0,0,0.950,1.000,0.950,1.000,1,KIAA0319L
chr1,-,35460304,35460437,36,2,0,0,0,0.947,1.000,0.947,1.000,0,KIAA0319L
chr1,+,35559106,35559247,57,4,0,0,0,0.934,1.000,0.934,1.000,2,NCDN
chr1,-,35631273,35631344,565,2,0,0,0,0.996,1.000,0.996,1.000,1,PSMB2
chr1,-,35749632,35749811,11,2,0,0,0,0.846,1.000,0.846,1.000,0,CLSPN
chr1,+,36085835,36086041,15,1,0,0,0,0.938,1.000,0.938,1.000,1,TEKT2
chr1,+,36178418,36178596,39,6,0,0,0,0.867,1.000,0.867,1.000,2,MAP7D1
chr1,+,36178684,36178823,40,1,0,0,0,0.976,1.000,0.976,1.000,3,MAP7D1
chr1,+,36178920,36179025,56,1,0,0,0,0.982,1.000,0.982,1.000,1,MAP7D1
chr1,+,36179514,36179557,69,9,0,0,0,0.885,1.000,0.885,1.000,0,MAP7D1
chr1,+,36322363,36322664,1,1,0,0,0,0.500,1.000,0.500,1.000,1,SH3D21
