chromo,strand,start,end,count,alt3,alt5,alt3+5,skip,constitLevel,inclLevel,3usageLevel,5usageLevel,genename
chr1,-,23435850,23436028,21,0,1,0,0,0.955,1.000,1.000,0.955,ASAP3
chr1,-,23436910,23437044,14,0,1,0,0,0.933,1.000,1.000,0.933,ASAP3
chr1,-,24383901,24384003,39,0,1,0,0,0.975,1.000,1.000,0.975,STPG1
chr1,+,24595423,24595512,5,0,2,0,0,0.714,1.000,1.000,0.714,NCMAP
chr1,+,24605605,24607030,1,0,1,0,0,0.500,1.000,1.000,0.500,onlyEST
chr1,+,24646666,24646789,218,0,2,0,0,0.991,1.000,1.000,0.991,SRRM1
chr1,+,24648858,24649029,158,0,1,0,0,0.994,1.000,1.000,0.994,SRRM1
chr1,+,24652433,24652628,39,0,2,0,0,0.951,1.000,1.000,0.951,SRRM1
chr1,+,24654854,24655129,21,0,9,0,0,0.700,1.000,1.000,0.700,SRRM1
chr1,+,25758591,25758709,14,0,1,0,0,0.933,1.000,1.000,0.933,MAN1C1
chr1,+,26034835,26035004,7,0,2,0,0,0.778,1.000,1.000,0.778,EXTL1
chr1,+,26183345,26183414,20,0,8,0,0,0.714,1.000,1.000,0.714,CNKSR1
chr1,+,26200829,26201041,3,0,1,0,0,0.750,1.000,1.000,0.750,CATSPER4
chr1,+,26426241,26428587,2,0,1,0,0,0.667,1.000,1.000,0.667,LIN28A
chr1,+,26475112,26475483,2,0,1,0,0,0.667,1.000,1.000,0.667,onlyEST
chr1,+,27334150,27334281,149,0,4,0,0,0.974,1.000,1.000,0.974,TMEM222
chr1,-,27357399,27357576,16,0,3,0,0,0.842,1.000,1.000,0.842,MAP3K6
chr1,-,27374355,27374451,43,0,1,0,0,0.977,1.000,1.000,0.977,FCN3
chr1,-,27993399,27993560,16,0,1,0,0,0.941,1.000,1.000,0.941,EYA3
chr1,-,28201255,28201370,5,0,1,0,0,0.833,1.000,1.000,0.833,DNAJC8
chr1,+,28508829,28508905,14,0,5,0,0,0.737,1.000,1.000,0.737,RCC1
chr1,-,28579911,28579981,10,0,3,0,0,0.769,1.000,1.000,0.769,SNHG12
chr1,-,28580559,28580646,21,0,1,0,0,0.955,1.000,1.000,0.955,SNHG12
chr1,+,28738258,28738338,530,0,5,0,0,0.991,1.000,1.000,0.991,YTHDF2
chr1,-,29196197,29196258,26,0,1,0,0,0.963,1.000,1.000,0.963,MECR
chr1,+,29311455,29311553,12,0,3,0,0,0.800,1.000,1.000,0.800,PTPRU
chr1,-,30950126,30950261,22,0,22,0,0,0.500,1.000,1.000,0.500,PUM1
chr1,+,31432966,31433185,50,0,1,0,0,0.980,1.000,1.000,0.980,SERINC2
chr1,-,31656399,31656444,14,0,1,0,0,0.933,1.000,1.000,0.933,COL16A1
chr1,-,31658913,31658964,19,0,1,0,0,0.950,1.000,1.000,0.950,COL16A1
chr1,-,31665582,31665618,19,0,1,0,0,0.950,1.000,1.000,0.950,COL16A1
chr1,-,31683333,31683369,10,0,1,0,0,0.909,1.000,1.000,0.909,COL16A1
chr1,+,32030297,32030422,91,0,1,0,0,0.989,1.000,1.000,0.989,KHDRBS1
chr1,+,32156852,32156945,185,0,6,0,0,0.969,1.000,1.000,0.969,KPNA6
chr1,+,32181241,32181577,18,0,1,0,0,0.947,1.000,1.000,0.947,TXLNA
chr1,-,32335034,32335097,1,0,1,0,0,0.500,1.000,1.000,0.500,onlyEST
chr1,-,32376261,32376741,23,0,1,0,0,0.958,1.000,1.000,0.958,BSDC1
chr1,-,33354837,33355253,6,0,2,0,0,0.750,1.000,1.000,0.750,PHC2
chr1,+,33491024,33491702,3,0,1,0,0,0.750,1.000,1.000,0.750,ZSCAN20
chr1,-,35189185,35189382,127,0,1,0,0,0.992,1.000,1.000,0.992,SFPQ
chr1,+,35386073,35386189,21,0,1,0,0,0.955,1.000,1.000,0.955,ZMYM4
chr1,-,35449866,35450005,37,0,1,0,0,0.974,1.000,1.000,0.974,KIAA0319L
chr1,+,35888426,35888610,13,0,1,0,0,0.929,1.000,1.000,0.929,AGO1
chr1,+,36091909,36092094,86,0,2,0,0,0.977,1.000,1.000,0.977,ADPRHL2
chr1,+,36170970,36171315,30,0,1,0,0,0.968,1.000,1.000,0.968,MAP7D1
chr1,+,36176417,36176581,13,0,1,0,0,0.929,1.000,1.000,0.929,MAP7D1
chr1,+,36306597,36306674,1,0,1,0,0,0.500,1.000,1.000,0.500,SH3D21
chr1,-,36391414,36391604,1,0,1,0,0,0.500,1.000,1.000,0.500,onlyEST
chr1,-,37592711,37592806,391,0,1,0,0,0.997,1.000,1.000,0.997,GNL2
chr1,-,37629567,37629949,4,0,2,0,0,0.667,1.000,1.000,0.667,RSPO1
chr1,-,37718377,37718486,3,0,2,0,0,0.600,1.000,1.000,0.600,EPHA10
chr1,-,37719507,37719607,3,0,2,0,0,0.600,1.000,1.000,0.600,EPHA10
chr1,-,37888242,37888344,22,0,1,0,0,0.957,1.000,1.000,0.957,INPP5B
chr1,-,37997683,37997870,55,0,4,0,0,0.932,1.000,1.000,0.932,FHL3
chr1,+,39034391,39034556,5,0,2,0,0,0.714,1.000,1.000,0.714,onlyEST
chr1,+,39297619,39297745,7,0,1,0,0,0.875,1.000,1.000,0.875,MACF1
chr1,-,39561684,39561787,48,0,1,0,0,0.980,1.000,1.000,0.980,PABPC4
chr1,-,39564422,39564542,39,0,29,0,0,0.574,1.000,1.000,0.574,PABPC4
chr1,-,39569862,39570002,59,0,1,0,0,0.983,1.000,1.000,0.983,PABPC4
chr1,-,39571233,39571349,65,0,2,0,0,0.970,1.000,1.000,0.970,PABPC4
chr1,+,40064473,40064559,541,0,1,0,0,0.998,1.000,1.000,0.998,CAP1
chr1,-,40080396,40080487,286,0,1,0,0,0.997,1.000,1.000,0.997,PPT1
chr1,+,40408652,40408738,49,0,1,0,0,0.980,1.000,1.000,0.980,SMAP2
chr1,-,40635915,40636057,12,0,1,0,0,0.923,1.000,1.000,0.923,RIMS3
chr1,+,40738835,40738948,278,0,1,0,0,0.996,1.000,1.000,0.996,NFYC
chr1,-,41046406,41046598,26,0,1,0,0,0.963,1.000,1.000,0.963,SCMH1
chr1,+,42457246,42457350,91,0,3,0,0,0.968,1.000,1.000,0.968,PPCS
chr1,+,42693489,42693523,1092,0,1,0,0,0.999,1.000,1.000,0.999,YBX1
chr1,-,42747271,42747412,34,0,6,0,0,0.850,1.000,1.000,0.850,P3H1
chr1,+,42775208,42775522,2,0,1,0,0,0.667,1.000,1.000,0.667,C1orf50
chr1,+,42835037,42835154,18,0,1,0,0,0.947,1.000,1.000,0.947,ERMAP
chr1,+,42835731,42835764,18,0,3,0,0,0.857,1.000,1.000,0.857,ERMAP
chr1,+,42970248,42970394,8,0,1,0,0,0.889,1.000,1.000,0.889,SLC2A1-AS1
chr1,+,43152827,43152931,1,0,1,0,0,0.500,1.000,1.000,0.500,FAM183A
chr1,-,43171478,43171651,268,0,2,0,0,0.993,1.000,1.000,0.993,EBNA1BP2
chr1,-,43171885,43171969,358,0,9,0,0,0.975,1.000,1.000,0.975,EBNA1BP2
chr1,+,43360192,43360389,114,0,1,0,0,0.991,1.000,1.000,0.991,CDC20
chr1,-,43364737,43364794,273,0,3,0,0,0.989,1.000,1.000,0.989,ELOVL1
chr1,-,43451427,43451544,16,0,11,0,0,0.593,1.000,1.000,0.593,HYI
chr1,-,43453385,43453497,13,0,9,0,0,0.591,1.000,1.000,0.591,HYI
chr1,+,43603415,43603533,19,0,1,0,0,0.950,1.000,1.000,0.950,PTPRF
chr1,+,43671504,43671875,3,0,1,0,0,0.750,1.000,1.000,0.750,KDM4A
chr1,+,43736232,43736380,31,0,3,0,0,0.912,1.000,1.000,0.912,ST3GAL3
chr1,+,43970595,43970708,184,0,5,0,0,0.974,1.000,1.000,0.974,DPH2
chr1,+,43976089,43976173,275,0,6,0,0,0.979,1.000,1.000,0.979,ATP6V0B
chr1,+,44219805,44219878,32,0,1,0,0,0.970,1.000,1.000,0.970,DMAP1
chr1,+,44635544,44635588,82,0,43,0,0,0.656,1.000,1.000,0.656,RNF220
chr1,+,44776674,44776774,2343,0,24,0,0,0.990,1.000,1.000,0.990,RPS8
chr1,+,44777613,44777789,2196,0,6,0,0,0.997,1.000,1.000,0.997,RPS8
chr1,-,45005996,45006116,34,0,1,0,0,0.971,1.000,1.000,0.971,HECTD3
chr1,+,45508795,45508912,1,0,1,0,0,0.500,1.000,1.000,0.500,MMACHC
chr1,+,45566868,45567020,258,0,1,0,0,0.996,1.000,1.000,0.996,AKR1A1
chr1,+,45567981,45568177,139,0,1,0,0,0.993,1.000,1.000,0.993,AKR1A1
chr1,+,45568926,45568999,70,0,2,0,0,0.972,1.000,1.000,0.972,AKR1A1
chr1,+,45614292,45614366,182,0,1,0,0,0.995,1.000,1.000,0.995,NASP
chr1,+,45615012,45615201,110,0,1,0,0,0.991,1.000,1.000,0.991,NASP
chr1,+,46023771,46023980,16,0,1,0,0,0.941,1.000,1.000,0.941,MAST2
chr1,+,46184959,46185115,63,0,1,0,0,0.984,1.000,1.000,0.984,TSPAN1
chr1,-,46189457,46189567,38,0,1,0,0,0.974,1.000,1.000,0.974,POMGNT1
chr1,-,46190472,46190517,52,0,1,0,0,0.981,1.000,1.000,0.981,POMGNT1
chr1,-,46190719,46190784,49,0,1,0,0,0.980,1.000,1.000,0.980,POMGNT1
chr1,-,46197701,46197871,127,0,1,0,0,0.992,1.000,1.000,0.992,POMGNT1
chr1,+,46248511,46248598,25,0,1,0,0,0.962,1.000,1.000,0.962,RAD54L
chr1,-,46594112,46594280,103,0,1,0,0,0.990,1.000,1.000,0.990,MKNK1
chr1,-,46935522,46935647,22,0,4,0,0,0.846,1.000,1.000,0.846,CYP4A11
chr1,-,46937995,46938137,42,0,1,0,0,0.977,1.000,1.000,0.977,CYP4A11
chr1,-,48403801,48403882,21,0,1,0,0,0.955,1.000,1.000,0.955,SPATA6
chr1,-,50705785,50705891,58,0,5,0,0,0.921,1.000,1.000,0.921,FAF1
chr1,-,50744683,50744775,61,0,1,0,0,0.984,1.000,1.000,0.984,FAF1
chr1,-,51409534,51409696,55,0,3,0,0,0.948,1.000,1.000,0.948,EPS15
chr1,-,51465260,51465326,39,0,1,0,0,0.975,1.000,1.000,0.975,EPS15
chr1,-,51792045,51792098,93,0,1,0,0,0.989,1.000,1.000,0.989,NRD1
chr1,-,51827795,51827869,49,0,3,0,0,0.942,1.000,1.000,0.942,NRD1
chr1,-,52353517,52353647,13,0,2,0,0,0.867,1.000,1.000,0.867,CC2D1B
chr1,-,52359249,52359357,16,0,1,0,0,0.941,1.000,1.000,0.941,CC2D1B
chr1,-,52361512,52361616,8,0,2,0,0,0.800,1.000,1.000,0.800,CC2D1B
chr1,-,52388441,52388637,11,0,1,0,0,0.917,1.000,1.000,0.917,ORC1
chr1,+,52405679,52405839,91,0,14,0,0,0.867,1.000,1.000,0.867,PRPF38A
chr1,+,53200718,53200799,140,0,1,0,0,0.993,1.000,1.000,0.993,CPT2
chr1,-,53216781,53216859,82,0,3,0,0,0.965,1.000,1.000,0.965,C1orf123
chr1,+,53464636,53464847,15,0,1,0,0,0.938,1.000,1.000,0.938,DMRTB1
chr1,+,53960355,53960474,25,0,2,0,0,0.926,1.000,1.000,0.926,LRRC42
chr1,-,54041723,54041805,273,0,2,0,0,0.993,1.000,1.000,0.993,TMEM59
chr1,-,54144465,54144813,2,0,1,0,0,0.667,1.000,1.000,0.667,CDCP2
chr1,+,54604345,54604429,16,0,1,0,0,0.941,1.000,1.000,0.941,ACOT11
chr1,-,54611605,54611745,6,0,1,0,0,0.857,1.000,1.000,0.857,FAM151A
chr1,+,54702089,54702245,15,0,1,0,0,0.938,1.000,1.000,0.938,"MROH7-TTC4,MROH7"
chr1,+,55058035,55058209,9,0,1,0,0,0.900,1.000,1.000,0.900,PCSK9
chr1,-,56643499,56643624,3,0,1,0,0,0.750,1.000,1.000,0.750,PLPP3
chr1,-,57062883,57062943,15,0,1,0,0,0.938,1.000,1.000,0.938,DAB1
chr1,+,59821857,59821943,52,0,2,0,0,0.963,1.000,1.000,0.963,HOOK1
chr1,-,59964382,59964651,3,0,2,0,0,0.600,1.000,1.000,0.600,onlyEST
chr1,-,61709328,61709437,140,0,2,0,0,0.986,1.000,1.000,0.986,TM2D1
chr1,-,62457537,62457705,22,0,1,0,0,0.957,1.000,1.000,0.957,DOCK7
chr1,-,62513470,62513606,17,0,2,0,0,0.895,1.000,1.000,0.895,DOCK7
chr1,+,63370770,63371059,64,0,1,0,0,0.985,1.000,1.000,0.985,ALG6
chr1,+,63402253,63402343,56,0,1,0,0,0.982,1.000,1.000,0.982,ALG6
chr1,+,63629424,63629587,446,0,1,0,0,0.998,1.000,1.000,0.998,PGM1
chr1,-,66891153,66891266,11,0,1,0,0,0.917,1.000,1.000,0.917,WDR78
chr1,+,66984571,66984592,6,0,1,0,0,0.857,1.000,1.000,0.857,MIER1
chr1,-,67420008,67420186,114,0,1,0,0,0.991,1.000,1.000,0.991,SERBP1
chr1,-,67426134,67426285,686,0,1,0,0,0.999,1.000,1.000,0.999,SERBP1
chr1,-,68144568,68144652,40,0,1,0,0,0.976,1.000,1.000,0.976,WLS
chr1,-,71065102,71065137,4,0,1,0,0,0.800,1.000,1.000,0.800,onlyEST
chr1,+,73307167,73307363,2,0,1,0,0,0.667,1.000,1.000,0.667,LINC01360
chr1,+,74199663,74199831,146,0,16,0,0,0.901,1.000,1.000,0.901,"FPGT-TNNI3K,FPGT"
chr1,+,75136602,75136689,5,0,1,0,0,0.833,1.000,1.000,0.833,LHX8
chr1,+,75749418,75749559,59,0,3,0,0,0.952,1.000,1.000,0.952,ACADM
chr1,+,76868496,76868742,72,0,1,0,0,0.986,1.000,1.000,0.986,ST6GALNAC5
chr1,-,77713199,77713281,34,0,1,0,0,0.971,1.000,1.000,0.971,USP33
chr1,-,77722023,77722196,29,0,1,0,0,0.967,1.000,1.000,0.967,USP33
chr1,-,77741375,77741429,152,0,1,0,0,0.993,1.000,1.000,0.993,USP33
chr1,-,77967626,77967666,144,0,1,0,0,0.993,1.000,1.000,0.993,FUBP1
chr1,+,78250183,78250373,2,0,2,0,0,0.500,1.000,1.000,0.500,MGC27382
chr1,-,83921246,83921394,19,0,1,0,0,0.950,1.000,1.000,0.950,TTLL7
chr1,+,84410837,84410999,11,0,2,0,0,0.846,1.000,1.000,0.846,DNASE2B
chr1,-,84501825,84501970,147,0,1,0,0,0.993,1.000,1.000,0.993,GNG5
chr1,+,85071927,85072005,57,0,1,0,0,0.983,1.000,1.000,0.983,WDR63
chr1,-,85970226,85970271,7,0,1,0,0,0.875,1.000,1.000,0.875,COL24A1
chr1,+,86473416,86473557,60,0,1,0,0,0.984,1.000,1.000,0.984,CLCA1
chr1,-,88857205,88857487,20,0,1,0,0,0.952,1.000,1.000,0.952,GTF2B
chr1,-,88961380,88961506,40,0,1,0,0,0.976,1.000,1.000,0.976,CCBL2
chr1,+,90005002,90005038,33,0,8,0,0,0.805,1.000,1.000,0.805,ZNF326
chr1,-,91379062,91379214,11,0,2,0,0,0.846,1.000,1.000,0.846,HFM1
chr1,+,91511596,91511690,45,0,1,0,0,0.978,1.000,1.000,0.978,CDC7
chr1,+,91968145,91968260,42,0,1,0,0,0.977,1.000,1.000,0.977,BRDT
chr1,-,92291417,92291537,35,0,1,0,0,0.972,1.000,1.000,0.972,GLMN
chr1,+,93119332,93119401,18,0,1,0,0,0.947,1.000,1.000,0.947,MTF2
chr1,-,94044612,94044744,9,0,1,0,0,0.900,1.000,1.000,0.900,ABCA4
chr1,+,94827506,94827643,37,0,9,0,0,0.804,1.000,1.000,0.804,SLC44A3
chr1,+,94839947,94840037,22,0,1,0,0,0.957,1.000,1.000,0.957,SLC44A3
chr1,-,95205095,95205133,3,0,1,0,0,0.750,1.000,1.000,0.750,RP11-57H12.3
chr1,+,96723563,96723594,189,0,6,0,0,0.969,1.000,1.000,0.969,PTBP2
chr1,+,96769702,96769875,189,0,2,0,0,0.990,1.000,1.000,0.990,PTBP2
chr1,+,98691074,98691185,76,0,2,0,0,0.974,1.000,1.000,0.974,SNX7
chr1,-,98914785,98914920,7,0,5,0,0,0.583,1.000,1.000,0.583,PLPPR5
chr1,+,99296737,99296867,33,0,1,0,0,0.971,1.000,1.000,0.971,PLPPR4
chr1,+,99688774,99689872,9,0,1,0,0,0.900,1.000,1.000,0.900,PALMD
chr1,-,100206229,100206301,13,0,1,0,0,0.929,1.000,1.000,0.929,DBT
chr1,-,100265067,100265247,1,0,1,0,0,0.500,1.000,1.000,0.500,RTCA-AS1
chr1,-,100265814,100265917,4,0,4,0,0,0.500,1.000,1.000,0.500,RTCA-AS1
chr1,+,100274823,100274965,38,0,3,0,0,0.927,1.000,1.000,0.927,RTCA
chr1,+,100720475,100720751,181,0,3,0,0,0.984,1.000,1.000,0.984,VCAM1
chr1,+,100911062,100911150,37,0,1,0,0,0.974,1.000,1.000,0.974,SLC30A7
chr1,+,100921705,100921841,9,0,2,0,0,0.818,1.000,1.000,0.818,SLC30A7
chr1,-,108242073,108242173,14,0,2,0,0,0.875,1.000,1.000,0.875,NBPF4
chr1,+,108695701,108695770,32,0,5,0,0,0.865,1.000,1.000,0.865,PRPF38B
chr1,+,108753062,108753144,118,0,1,0,0,0.992,1.000,1.000,0.992,STXBP3
chr1,-,109013840,109013925,70,0,2,0,0,0.972,1.000,1.000,0.972,WDR47
chr1,+,109173473,109173579,9,0,2,0,0,0.818,1.000,1.000,0.818,KIAA1324
